id,ra,dec,mag
0,18.4102353,5.0056316,14.019
1,31.6214280,18.5760907,17.331
2,350.5488018,14.3995547,17.476
3,241.0216417,11.1032725,8.455
4,24.4944202,57.7754700,17.473
5,308.3590565,41.6791494,10.605
6,116.6400250,46.7233505,17.539
7,335.3522174,-11.1907530,18.050
8,149.0756338,-35.3000496,17.472
9,142.9251556,-30.6259899,17.638
10,271.7138974,8.4364078,11.508
11,358.2211616,16.8612943,13.910
12,147.3487538,11.1644897,13.397
13,91.3914584,-78.2051332,14.402
14,165.7075952,-50.6449747,17.065
15,29.9497208,17.9524832,10.791
16,79.0439067,-43.7634015,13.640
17,268.0101078,-34.3740296,8.428
18,220.3558452,-38.3739267,10.953
19,44.4024412,25.9009802,13.092
20,350.6749876,-22.2932593,11.654
21,138.2728515,-2.7578646,13.011
22,106.3734279,-45.0075600,10.365
23,317.5625957,-60.6286828,8.815
24,185.5631595,-0.4954920,17.642
25,62.1631352,39.5424039,15.166
26,342.8741847,-40.3185765,10.379
27,312.8598620,39.1231140,14.617
28,125.6243764,25.0876167,13.614
29,272.7849732,52.5764932,9.315
30,331.0425222,21.1446442,16.227
31,84.5127752,-51.2911401,11.808
32,307.8877386,-26.0514404,15.568
33,176.1716495,27.6095581,9.183
34,142.9136255,62.3438860,10.060
35,330.1532900,40.9130692,17.423
36,137.2500092,-2.5205828,11.000
37,240.7394323,43.0654171,12.595
38,202.3040586,2.3540975,10.338
39,292.4620262,15.4529641,13.384
40,332.7599398,-7.7816559,16.854
41,328.3857222,30.4515252,17.233
42,114.8704400,-63.3457748,17.747
43,234.1312520,36.3878590,17.959
44,150.0700222,69.2395288,15.816
45,17.3662551,66.5774899,15.719
46,215.7435382,27.0160730,16.448
47,178.2641315,32.5657401,13.795
48,79.5588331,-57.6919519,12.458
49,228.3433858,-49.0205044,11.484
50,232.7463613,14.6234357,15.412
51,325.4461087,32.2942890,14.775
52,176.4216875,50.4797567,9.575
53,188.7268647,-45.0910841,16.346
54,210.0310942,-33.3763062,15.231
55,109.6515280,-56.1633104,12.392
56,159.5182424,-12.9043700,13.136
57,242.4027034,9.2087798,13.481
58,167.0328322,25.4160052,16.481
59,36.7462472,-19.0830089,15.163
60,349.1924499,14.8115650,14.559
61,58.3003399,29.0559353,15.111
62,217.0881716,50.7199155,15.118
63,241.7409120,39.0795739,15.560
64,31.4914262,-52.9039699,17.240
65,278.5688166,55.9150769,15.155
66,316.8292270,-49.9797645,17.663
67,178.3795077,7.5874716,11.182
68,161.0006125,25.3907269,15.550
69,89.2836629,41.2184861,15.046
70,136.0491365,65.9135802,16.324
71,174.2981492,4.6695873,17.666
72,179.6533245,62.7195166,16.836
73,113.7235516,7.7172664,12.478
74,248.5383727,39.2023549,15.037
75,113.9939900,-47.7950323,16.285
76,7.9758162,-24.9469268,9.934
77,169.9940183,-16.6074798,12.049
78,241.5579314,26.0442820,17.480
79,8.0600559,27.3455751,16.229
80,144.5158290,-46.9086668,9.890
81,200.3276428,-16.7288455,8.156
82,186.5494625,-4.2582522,18.180
83,107.1900730,60.4401869,13.895
84,58.0635051,-18.8113361,15.338
85,108.3421779,38.3781952,13.592
86,330.7664330,51.5756228,13.295
87,184.9469494,7.6081021,15.509
88,98.2082007,-5.2692339,13.579
89,351.4558311,-9.7449781,8.222
90,176.0737038,1.9809945,14.446
91,322.7219911,57.9424746,14.723
92,46.5604588,19.5820872,15.124
93,328.9132563,34.5870392,17.769
94,61.7402951,-22.2676349,14.105
95,152.8718638,8.7460193,15.805
96,322.0686688,38.0199740,13.155
97,278.4748527,-25.3230023,16.156
98,203.1069706,46.5272111,11.346
99,214.2237443,49.9729572,16.035
100,142.6718788,-49.7605280,14.071
101,215.5812571,30.9027685,11.608
102,19.9913913,-4.1358684,14.376
103,272.8903946,19.2689126,17.099
104,355.6107017,82.6641947,16.947
105,266.7768118,-41.5243799,10.544
106,158.9696439,3.5476316,8.584
107,162.9601524,-64.6988008,12.831
108,90.8161368,16.1525613,8.271
109,177.1469427,-27.8667273,9.897
110,249.6244086,-57.4556624,15.534
111,67.5595593,44.8208642,16.251
112,340.9573212,-32.0489160,11.003
113,257.4416863,15.8384189,15.728
114,112.0371480,-1.9269365,9.313
115,26.5385654,-4.8623849,16.711
116,118.5227416,32.7367201,14.968
117,173.9361185,82.3893844,17.638
118,155.2284333,-42.3895142,11.368
119,194.5517061,55.8543156,14.176
120,202.3890476,14.3753103,9.873
121,327.8884856,-16.7623964,15.866
122,201.9100176,16.9268503,11.468
123,118.2767831,26.4689926,8.364
124,8.3192115,-6.1642744,17.243
125,111.5169652,-8.8338510,15.867
126,221.8117190,-47.5785114,13.253
127,316.7267911,71.3421321,14.945
128,140.0755680,-24.2364288,15.874
129,340.8796632,22.7720805,11.727
130,220.7875434,41.6542930,15.192
131,20.6627426,5.4534774,14.638
132,111.3400723,-60.5873948,8.301
133,356.0120450,16.2066269,16.148
134,317.8671542,50.9424426,8.383
135,170.2046910,24.5082167,13.112
136,255.7859541,50.5295099,16.201
137,71.9019325,-65.6049615,10.625
138,269.6075682,-58.1066916,10.673
139,119.0972697,-44.9070158,9.232
140,63.1701560,7.2454244,12.397
141,241.2338402,-66.8974366,17.063
142,192.4871962,25.9889481,14.037
143,328.0590592,-36.8413965,11.366
144,240.4933670,66.6041068,15.731
145,21.2299914,22.2163493,11.203
146,69.1374374,-55.5757312,10.032
147,334.3605894,-29.3732367,15.958
148,11.9259450,-55.6826762,16.908
149,175.7787998,72.4621920,17.383
150,157.4449844,60.9672498,12.393
151,289.6652968,48.2746520,17.323
152,20.0377143,67.4496840,14.683
153,121.1690264,-13.4188906,13.953
154,327.3382181,-21.5509338,9.214
155,302.0673586,22.5866135,9.392
156,16.5301433,-20.6667687,10.743
157,169.7611359,-4.3374268,10.930
158,334.7843807,12.7672320,13.996
159,27.2610964,-12.0103140,14.700
160,351.3124499,-45.0779086,11.746
161,78.2758443,-44.2125225,14.052
162,165.1485030,-68.4534122,14.677
163,169.0281612,0.2633156,8.608
164,107.4352858,31.7362485,10.268
165,166.0819935,-50.5396440,15.827
166,118.3444605,-55.7105114,10.042
167,196.5732696,34.2968772,13.967
168,156.9615795,-4.5234597,11.267
169,21.2713568,38.1764493,10.964
170,304.2059143,-8.7611435,14.533
171,200.9951617,-53.7646776,11.649
