id,ra,dec,mag
0,225.4161895,-19.2034694,10.084
1,222.0946438,56.1663065,10.192
2,262.3057979,31.1867983,12.554
3,204.8290901,-66.0685210,14.133
4,52.2063499,-48.5681554,16.383
5,85.5078886,-39.3853349,11.761
6,210.0331126,36.7924220,16.075
7,284.7883309,7.8157248,9.718
8,90.0538100,-21.5238103,14.753
9,94.3017798,17.8650254,13.143
10,293.4183302,74.6380178,12.086
11,58.4726826,-63.9492542,17.526
12,276.4221055,-24.5265185,14.761
13,113.8222871,27.0118700,16.328
14,126.3695747,-32.6293593,11.917
15,206.9028522,-13.8449258,11.934
16,237.1052885,39.3547783,10.036
17,356.5800825,-37.1240459,13.769
18,35.7805267,70.4072543,10.960
19,326.3255558,-22.5362916,11.350
20,174.2493441,-25.6258253,16.041
21,189.5164531,18.6681454,8.387
22,122.7321080,-16.6108386,16.050
23,246.4961085,-33.1873326,8.370
24,234.3679598,52.7811227,8.897
25,264.5572107,-18.6426339,13.244
26,209.2918276,-76.4683352,10.414
27,195.1422362,10.7926933,13.695
28,20.0415123,35.5846741,11.381
29,34.8945678,6.4096807,8.304
30,304.5053433,4.8257060,12.161
31,125.7656284,44.9161789,16.600
32,159.6557772,-74.7532443,15.271
33,227.7476614,-27.2888872,8.923
34,210.6005185,-4.3033928,12.507
35,170.0539637,-55.9087261,16.721
36,27.0304073,0.2492043,17.007
37,35.6466428,-20.3456427,11.696
38,228.3434235,-49.0204845,11.435
39,2.7782897,61.9180862,12.069
40,238.9140656,40.8705586,10.648
41,29.8351954,-11.1650808,15.529
42,258.1529353,33.5307970,9.279
43,153.8275840,-42.6294042,12.957
44,182.0630810,-36.7278831,11.092
45,216.8384560,42.7685283,8.359
46,116.7613996,-22.5934616,13.752
47,233.8921208,-31.0782484,15.014
48,250.8861402,13.9635706,16.623
49,35.0992215,3.4196678,12.156
50,52.8214054,71.9847645,8.112
51,2.8643608,35.9490210,17.694
52,112.4141297,-11.6460907,11.247
53,111.5470744,57.9827244,9.427
54,54.4616489,39.0354305,8.413
55,7.2928366,44.4094788,11.829
56,156.3261268,10.7452499,9.632
57,58.1707875,-8.1545735,10.228
58,47.0859384,7.3325268,9.800
59,260.3839726,-10.7804423,9.598
60,13.8981323,-48.3828814,11.159
61,95.6160925,15.4473671,17.445
62,131.1647305,-62.2937428,15.053
63,154.9962673,18.0600279,13.362
64,358.4881696,-47.1989409,9.307
65,231.3179923,36.5405055,14.267
66,69.8256867,-19.2771486,17.835
67,146.9989540,-18.6847132,9.534
68,46.7430288,-16.4255403,12.743
69,290.3430929,21.0519421,10.283
70,344.3003136,-54.2733182,10.951
71,19.3718159,-61.1363711,10.846
72,275.1480713,-7.4935926,9.925
73,356.8917402,77.5044795,12.565
74,53.3387093,1.7687655,16.466
75,275.7555657,27.5781498,15.244
76,63.8711317,11.1836053,13.599
77,350.5543871,26.5020909,11.195
78,278.6953135,-23.6070784,12.749
79,187.6113571,41.0568732,12.527
80,67.5567263,33.9562255,10.341
81,61.2325474,28.9347686,12.535
82,147.7236170,-41.3969016,11.001
83,311.6692676,23.4031304,8.386
84,117.0907350,37.5743136,12.114
85,231.7643099,-39.3268508,15.736
86,283.6473646,-49.7135816,10.651
87,93.5280258,49.2557170,14.015
88,246.2378390,67.2233667,15.387
89,62.5878807,12.2887431,13.884
90,186.7956762,47.2568567,8.260
91,197.7802702,13.3310746,9.541
92,302.2801107,-49.9219190,17.171
93,237.5394926,20.5126307,11.216
94,192.7044554,39.4073762,15.565
95,255.4776911,41.9197102,11.137
96,230.8260115,-67.6239141,15.451
97,179.3785099,-50.8868130,11.619
98,112.1232127,-11.4566408,9.934
99,200.7043110,-10.2071229,16.031
100,27.4809479,-48.1158509,10.148
101,259.5880634,24.0659524,9.686
102,118.3576232,50.2950907,12.840
103,216.6331165,57.6121283,17.962
104,126.9576445,19.7644138,15.271
105,288.4899949,6.3656741,9.539
106,129.8863629,-30.8672255,13.465
107,43.0443793,-48.7044666,13.529
108,283.3458881,47.1744563,17.545
109,299.4094872,-18.9008950,16.241
110,238.2321739,59.2911987,11.166
111,278.1695572,-2.6788727,8.223
112,326.8185632,9.1304163,15.992
113,3.7390140,-67.6711552,12.055
114,97.2012043,-0.5520898,15.776
115,284.3392699,3.6309751,10.275
116,177.3014070,25.4364455,12.767
117,263.6597228,17.4234783,8.254
118,106.0992999,25.9537752,15.593
119,218.3848446,-46.0824163,9.212
120,309.7483416,65.2767815,12.938
121,120.7792815,-19.7394130,8.218
122,251.6286957,-25.7087329,11.775
123,5.0894530,-48.9682736,17.252
124,221.8447403,9.7631558,13.711
125,66.8802582,-23.4972776,11.930
126,230.4440505,-39.8331483,14.578
127,235.3297752,56.6637415,13.674
128,31.6214119,18.5760650,17.197
129,161.6877785,-13.2937625,11.439
130,253.6881682,-19.6104476,16.765
131,304.6056443,-56.0305510,17.233
132,176.0737020,1.9810244,14.378
133,265.5619645,83.1092832,10.952
134,358.0622834,-2.8907022,10.155
135,196.3513612,35.1648826,9.687
136,28.9698265,19.0985425,14.480
137,75.0565381,43.1409626,15.863
138,40.7849341,-9.2890019,17.248
139,14.3473743,55.7682407,13.304
140,181.3373081,40.7344352,16.231
141,51.8746533,20.0396007,14.204
142,121.7350578,-36.3033932,14.781
143,191.4654481,-60.0646960,13.393
144,261.9127880,-24.4141742,9.077
145,183.7303070,-24.8238872,8.988
146,176.1716262,27.6095878,9.128
147,289.2280305,-26.9986420,12.242
148,47.2425608,-10.3641896,16.729
149,74.7714387,76.4908278,14.715
150,337.2988012,-55.5696300,8.147
151,239.4188556,57.7531791,11.596
152,177.9067842,9.0849995,12.675
153,42.5880331,24.9705659,14.641
154,320.2018651,-19.0876103,15.102
155,231.0458823,-17.8134329,8.873
156,113.0656540,29.8811072,11.321
157,200.8370192,-70.2111498,10.615
158,60.2286526,9.7337006,11.491
159,175.1064907,49.4758193,8.053
160,158.7106900,8.2490425,8.968
161,75.0288777,19.7233525,17.499
162,300.6423895,28.9152390,16.773
163,35.4200558,-4.4601094,14.705
164,48.2039141,40.2779309,11.280
165,48.1510474,-14.8938456,17.753
166,328.6503333,35.6967397,8.385
167,247.6467855,12.8155200,11.886
168,222.9521221,-36.2904326,12.656
169,163.9483867,-26.2701679,15.451
170,341.8672089,19.9980752,10.626
171,336.9257893,-2.3930346,11.651
172,332.4136071,-52.4648594,8.487
173,217.8184150,27.5719789,8.849
174,9.3204896,-48.8394217,10.027
175,285.3808619,7.8161775,13.267
176,126.2615604,-42.0826117,8.944
177,146.5104587,25.9315240,8.323
178,333.3366169,-49.3487290,17.277
179,161.8058532,34.7246113,11.794
180,300.9133993,56.0186561,15.067
181,160.9457235,-0.7725672,16.272
182,76.0618749,-24.6374115,10.211
183,56.8041224,37.1414938,17.713
184,98.5783307,9.3187169,10.080
185,187.3222994,1.0931094,12.974
186,27.2898194,-46.0940407,16.012
187,140.7626177,27.1409173,9.011
188,348.7863945,21.4092050,13.201
189,133.8702839,41.9056078,11.065
190,119.6839371,-45.1606866,10.594
